Decisao 1
Filial 1
Probabilidades
4,2366;12,8360;17,8835;18,0593;14,4149;9,3800;4,8323;1,9752;0,6460;-9,7853;-9,9284;-9,9980;-10,0000;
6,9288;21,1717;29,9102;30,6525;24,8364;16,4492;8,6952;3,6902;1,2701;-9,5692;-9,8570;-9,9882;-9,9980;
6,3307;19,6850;28,6209;30,3508;25,5973;17,7858;10,0736;4,7241;1,8665;-9,3056;-9,7610;-9,9537;-9,9862;
6,8607;21,2856;31,1502;33,7704;29,5532;21,6643;13,2694;6,9884;3,2385;-8,5996;-9,4609;-9,8483;-9,9399;
6,6316;20,7525;30,6767;33,7984;30,6658;23,9029;16,1056;9,6798;5,3077;-7,2907;-8,7760;-9,5540;-9,7882;
5,6954;18,0336;27,2319;30,7669;28,9438;24,0797;18,0103;12,4532;8,0069;-5,2205;-7,4667;-8,8642;-9,3422;
4,1115;13,2837;20,7829;24,6414;24,6018;22,0819;18,4657;14,6811;10,9665;-2,4641;-5,3775;-7,5403;-8,2064;
2,8310;9,3152;15,1131;18,9116;20,3087;19,8074;18,1715;16,1505;13,6482;0,6392;-2,5732;-5,4285;-5,7467;
1,7833;6,0576;10,3137;13,7224;15,9699;17,1204;17,2356;16,6578;15,4776;3,4349;0,5681;-2,6061;-1,1752;
0,7220;2,7604;5,4741;8,3903;11,1685;13,5995;15,3824;16,2680;16,2424;5,3453;3,3908;0,5497;6,2186;
0,1486;0,8068;2,2914;4,5978;7,3832;10,2993;12,9956;15,0579;16,1320;6,1990;5,3308;3,3852;16,7683;



Decisao 2
Filial 1
Probabilidades
0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
0,0352;0,0700;0,1152;0,1412;0,1452;0,1032;0,1024;0,0892;0,0740;0,0568;0,0376;0,0228;0,0072;
0,0338;0,0686;0,1134;0,1402;0,1450;0,1048;0,1024;0,0897;0,0746;0,0575;0,0384;0,0234;0,0081;
0,0314;0,0648;0,1089;0,1366;0,1437;0,1076;0,1041;0,0907;0,0762;0,0593;0,0404;0,0252;0,0111;
0,0270;0,0581;0,0996;0,1289;0,1397;0,1115;0,1070;0,0940;0,0790;0,0630;0,0445;0,0290;0,0188;
0,0222;0,0490;0,0867;0,1160;0,1314;0,1131;0,1110;0,0986;0,0844;0,0681;0,0508;0,0352;0,0334;
0,0177;0,0398;0,0718;0,0998;0,1180;0,1103;0,1127;0,1043;0,0910;0,0757;0,0584;0,0434;0,0571;
0,0138;0,0313;0,0575;0,0820;0,1013;0,1016;0,1100;0,1076;0,0984;0,0843;0,0682;0,0527;0,0915;
0,0099;0,0235;0,0440;0,0647;0,0831;0,0896;0,1014;0,1063;0,1033;0,0936;0,0789;0,0641;0,1378;
0,0067;0,0165;0,0321;0,0490;0,0655;0,0751;0,0894;0,0988;0,1034;0,1000;0,0899;0,0761;0,1975;
0,0044;0,0111;0,0222;0,0354;0,0495;0,0602;0,0750;0,0877;0,0969;0,1012;0,0976;0,0880;0,2707;
0,0024;0,0068;0,0142;0,0240;0,0357;0,0466;0,0601;0,0741;0,0867;0,0957;0,0999;0,0966;0,3571;
0,0009;0,0033;0,0080;0,0149;0,0241;0,0346;0,0466;0,0598;0,0737;0,0862;0,0952;0,0995;0,4531;
Contribuicoes
179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000;
0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-10,0000;-10,0000;-10,0000;-10,0000;
0,8769;1,7438;2,8699;3,5176;3,6172;2,5709;2,5510;2,2222;1,8435;-8,5850;-9,0633;-9,4320;-9,8206;
2,8715;5,7834;9,5429;11,7577;12,1380;8,7201;8,5676;7,4892;6,2218;-5,2129;-6,8148;-8,0620;-9,3504;
4,3085;8,8290;14,6927;18,2825;19,0588;14,0016;13,6005;11,8917;9,9317;-2,3137;-4,8229;-6,8125;-8,7559;
4,8813;10,1379;17,0929;21,5827;22,8631;17,3745;16,8331;14,6897;12,3272;-0,3436;-3,3567;-5,8032;-7,8748;
4,7478;9,9840;17,0476;21,9379;23,7624;18,8848;18,4654;16,2422;13,6757;0,8668;-2,2735;-4,9162;-6,4048;
4,9142;10,3660;17,8054;23,1643;25,5446;21,0335;21,0010;18,8331;16,0458;2,8719;-0,5874;-3,5280;-3,8564;
3,9917;8,6400;15,0532;20,0322;22,7335;19,8722;20,2963;18,8627;16,5507;3,6318;0,3388;-2,5013;-0,1578;
2,7034;6,0413;10,8724;15,0110;17,8402;16,9378;17,9841;17,4701;16,1165;3,9200;1,1518;-1,4633;5,0589;
2,2049;4,9255;8,9566;12,6393;15,4310;15,3835;17,0115;17,2802;16,6250;5,1279;2,7854;0,2699;12,2033;
1,3179;3,1720;5,9500;8,8310;11,4420;12,4733;14,3690;15,5404;15,8601;5,2750;3,8671;1,8726;21,3334;
0,4646;1,3633;2,9455;4,9384;7,2233;9,1800;11,2491;12,9906;14,2908;4,7628;4,3536;3,2296;32,5523;

Filial 2
Probabilidades
0,0492;0,1501;0,2105;0,2136;0,1712;0,1120;0,0581;0,0239;0,0079;0,0026;0,0009;0,0000;0,0000;
0,0450;0,1393;0,2010;0,2109;0,1748;0,1189;0,0652;0,0291;0,0107;0,0037;0,0012;0,0002;0,0000;
0,0386;0,1222;0,1829;0,2013;0,1777;0,1300;0,0788;0,0404;0,0177;0,0071;0,0025;0,0006;0,0002;
0,0309;0,1004;0,1572;0,1832;0,1747;0,1417;0,0979;0,0589;0,0313;0,0149;0,0061;0,0020;0,0008;
0,0250;0,0810;0,1287;0,1574;0,1616;0,1456;0,1157;0,0818;0,0516;0,0289;0,0141;0,0057;0,0029;
0,0193;0,0637;0,1028;0,1289;0,1408;0,1392;0,1255;0,1033;0,0761;0,0498;0,0283;0,0138;0,0086;
0,0141;0,0474;0,0796;0,1029;0,1168;0,1244;0,1246;0,1165;0,0991;0,0748;0,0493;0,0281;0,0224;
0,0095;0,0331;0,0582;0,0797;0,0947;0,1057;0,1145;0,1184;0,1137;0,0983;0,0745;0,0492;0,0505;
0,0061;0,0218;0,0400;0,0583;0,0744;0,0876;0,0993;0,1106;0,1166;0,1131;0,0981;0,0744;0,0997;
0,0035;0,0131;0,0257;0,0401;0,0553;0,0703;0,0840;0,0971;0,1095;0,1163;0,1130;0,0980;0,1740;
0,0015;0,0065;0,0148;0,0257;0,0388;0,0535;0,0688;0,0830;0,0967;0,1094;0,1163;0,1130;0,2721;
0,0004;0,0023;0,0070;0,0148;0,0254;0,0383;0,0531;0,0685;0,0829;0,0966;0,1094;0,1163;0,3850;
0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
Contribuicoes
-5,4842;-2,4526;-0,7370;-0,7253;-2,0296;-3,7921;-5,3667;-6,3420;-6,7885;-16,9295;-16,9765;-17,0000;-17,0000;
-2,7634;5,8360;10,8835;11,0593;7,4149;2,3800;-2,1677;-5,0248;-6,3540;-16,7853;-16,9284;-16,9980;-17,0000;
-0,0712;14,1717;22,9102;23,6525;17,8364;9,4492;1,6952;-3,3098;-5,7299;-16,5692;-16,8570;-16,9882;-16,9980;
-0,6693;12,6850;21,6209;23,3508;18,5973;10,7858;3,0736;-2,2759;-5,1335;-16,3056;-16,7610;-16,9537;-16,9862;
-0,1393;14,2856;24,1502;26,7704;22,5532;14,6643;6,2694;-0,0116;-3,7615;-15,5996;-16,4609;-16,8483;-16,9399;
-0,3684;13,7525;23,6767;26,7984;23,6658;16,9029;9,1056;2,6798;-1,6923;-14,2907;-15,7760;-16,5540;-16,7882;
-1,3046;11,0336;20,2319;23,7669;21,9438;17,0797;11,0103;5,4532;1,0069;-12,2205;-14,4667;-15,8642;-16,3422;
-2,8885;6,2837;13,7829;17,6414;17,6018;15,0819;11,4657;7,6811;3,9665;-9,4641;-12,3775;-14,5403;-15,2064;
-4,1690;2,3152;8,1131;11,9116;13,3087;12,8074;11,1715;9,1505;6,6482;-6,3608;-9,5732;-12,4285;-12,7467;
-5,2167;-0,9424;3,3137;6,7224;8,9699;10,1204;10,2356;9,6578;8,4776;-3,5651;-6,4319;-9,6061;-8,1752;
-6,2780;-4,2396;-1,5259;1,3903;4,1685;6,5995;8,3824;9,2680;9,2424;-1,6547;-3,6092;-6,4503;-0,7814;
-6,8514;-6,1932;-4,7086;-2,4022;0,3832;3,2993;5,9956;8,0579;9,1320;-0,8010;-1,6692;-3,6148;9,7683;
